year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,one owner?,No Flood/Frame Damage,Good Odometer
2014,Mazda,CX-5 Sport,15998,65000,26 city/35 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,Gray/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2016,Mazda,CX-5 Grand Touring,18998,60000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2021,Mazda,CX-5 Grand Touring,24998,34000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2015,Mazda,CX-5 Sport,14599,90000,26 city/35 hwy,4-cyl,Gas,Front Wheel Drive,Manual 6 Speed,Silver/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2017,Mazda,CX-5 Grand Touring,16998,118000,23 city/29 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2018,Mazda,CX-9 Grand Touring,24998,58000,20 city/26 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2023,Mazda,CX-5 2.5 S Premium Package,28998,17000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2020,Mazda,Mazda3 ,18998,67000,26 city/35 hwy,4-cyl,Gas,Front Wheel Drive,Automatic,Blue/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2020,Mazda,CX-5 Touring,23998,42000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2021,Mazda,CX-5 Grand Touring,25998,28000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2021,Mazda,CX-5 Carbon Edition,25998,29000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Maroon,"
    
      
    ","
    
      
    ","
    
      
    "
2023,Mazda,CX-50 2.5 S Select Package,24998,29000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Red/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2020,Mazda,CX-5 Touring,23998,37000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2022,Mazda,CX-5 2.5 S Select Package,22998,36000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Red/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2021,Mazda,CX-30 Premium,24998,24000,24 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2020,Mazda,CX-30 Preferred,22998,25000,24 city/31 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Red/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2016,Mazda,CX-3 Touring,17998,56000,27 city/32 hwy,4-cyl,Gas,All Wheel Drive,Automatic,White/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2022,Mazda,CX-5 Carbon Edition,26998,24000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Gray/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2021,Mazda,CX-9 Sport,25998,32000,20 city/26 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2015,Mazda,CX-5 Sport,13599,108000,24 city/30 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Black/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2020,Mazda,CX-3 Sport,19998,45000,27 city/32 hwy,4-cyl,Gas,All Wheel Drive,Automatic,Blue/Black,"
    
      
    ","
    
      
    ","
    
      
    "
2019,Mazda,CX-9 Touring,23998,56000,20 city/26 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Gray,"
    
      
    ","
    
      
    ","
    
      
    "
